COL_SA_mg_mt_119913_50289-51266	rmn:TK49_17075	47.0	317	163	4	14	325	2	318	6.78e-85	253
COL_SA_mg_mt_69862_10108-11148	bgm:CAL15_17825	42.8	304	158	7	58	345	9	312	6.88e-69	212
COL_SA_mg_mt_40408_704-1669	cpau:EHF44_27450	46.7	302	157	4	23	321	18	318	2.16e-82	246
COL_SA_mg_mt_267587_21608-23968	hyb:Q5W_01280	44.4	311	167	4	477	786	8	313	3.94e-81	256
COL_SA_mg_mt_21384_114842-117226	cnc:CNE_2c06820	45.2	305	162	5	491	794	18	318	5.67e-79	251
COL_SA_mg_mt_12951_3625-5973	reu:Reut_B3579	44.1	315	171	5	469	782	8	318	1.40e-74	239
COL_SA_mg_mt_9808_3887-4882	ccup:BKK81_20595	45.6	316	165	4	21	331	5	318	1.41e-88	262
COL_SA_mg_mt_251199_2967-3926	snos:K8P63_05730	46.3	315	160	4	12	319	8	320	2.14e-82	246
COL_SA_mg_mt_181964_17302-18249	reu:Reut_B4797	43.0	314	167	8	12	314	9	321	1.18e-75	229
COL_SA_mg_mt_95294_639-3017	rpi:Rpic_4500	43.9	314	168	7	483	792	7	316	3.05e-73	235
COL_SA_mg_mt_9734_41356-42327	cox:E0W60_08555	41.5	325	181	4	1	323	1	318	6.53e-82	245
COL_SA_mg_mt_3857_328394-329347	pbab:AAEO81_15985	54.7	320	141	3	1	317	1	319	1.40e-113	325
COL_SA_mg_mt_186406_111588-112556	ccam:M5D45_27255	45.6	320	166	3	8	322	2	318	3.35e-87	258
COL_SA_mg_mt_109713_230-1225	ccup:BKK81_20595	46.2	316	163	4	21	331	5	318	3.52e-89	264
COL_SA_mg_mt_11173_31956-33044	rhdm:HFP48_25090	43.8	297	156	6	75	362	1	295	1.31e-68	211
COL_SA_mg_mt_311298_2-259	bge:BC1002_4697	51.8	85	40	1	1	85	236	319	3.10e-26	92.0
COL_SA_mg_mt_58581_19122-20102	ccup:BKK81_20595	49.4	322	150	5	8	326	7	318	1.19e-88	262
COL_SA_mg_mt_15495_11978-14320	rmn:TK49_17075	45.1	315	168	5	467	780	8	318	3.30e-86	270
COL_SA_mg_mt_2342_27972-28964	yti:FNA67_00260	45.6	316	162	6	19	329	10	320	5.30e-89	263
COL_SA_mg_mt_9162_9710-10951	rhmm:ISO16_14740	47.2	290	147	5	130	413	6	295	2.02e-81	246
COL_SA_mg_mt_85343_115-564	ptro:G5S35_25095	47.3	148	73	2	2	149	190	332	2.84e-38	126
COL_SA_mg_mt_9713_7721-8575	rhz:RHPLAN_44340	33.0	194	124	3	53	245	49	237	2.57e-27	102
COL_SA_mg_mt_4356_211136-212095	snos:K8P63_05730	46.3	315	160	4	12	319	8	320	2.14e-82	246
COL_SA_mg_mt_20888_78338-79291	pbab:AAEO81_15985	56.1	312	132	4	1	309	1	310	3.99e-113	324
COL_SA_mg_mt_265295_3937-4854	bgm:CAL15_17825	39.1	258	139	6	39	289	31	277	2.71e-44	147
COL_SA_mg_mt_269823_28272-30623	rmn:TK49_17075	42.9	312	173	5	473	783	11	318	6.55e-79	250
COL_SA_mg_mt_17395_63151-64098	reu:Reut_B4797	43.0	314	167	8	12	314	9	321	1.18e-75	229
